Qual o nome do órgão em que você trabalha?;órgão;Qual o seu cargo?;Cargo_Cat;Município;COD_UF;UF;Estado;Qual a sua ocupação?;Quais são as suas dúvidas em relação à LPG?;Quais são as suas dúvidas em relação à PNAB?
DEPARTAMENTO MUNICIPAL DE CULTURA;Diretoria de Cultura;DIRETOR;Diretor;FRANCISCO BELTRÃO;41;PR;PARANÁ;Gestor da Pasta de Cultura;"1) Quais documentos os proponentes beneficiados deveram apresentar para o município no final do processo da LPG?
2) Existe um documento modelo de Relatório Final para os municípios... Obs: Não encontramos nos materiais, poderiam repassar o link de acesso.
3) Qual o prazo para anexar o Relatório Final no TransfereGov, para os municípios que repassam os recursos da LPG em 2023?";"PNAB GERAL
1) Qual a lista de gastos possíveis com os valores do subsídio na PNAB. São os mesmo que na LAB1? Ou tem outra lista?
Ex: Poderão ser pagas parcelas de empréstimos bancários assumidos anteriormente pelos artistas e/ou empresas culturais? Seria o caso de empréstimos contratados na pandemia e com parcelas ainda a vencer.
2) Os rendimentos dos juros do valor recebido pelo município poderão ser utilizados, respeitando-se os percentuais de 75%/25% da PNAB e PNCV? Ou poderão ser utilizados somente para a PNAB ou somente para PNCV?
3) Os 20% que a PNAB refere para apoiar projetos nas áreas periféricas, deverão ser calculados sobre recurso geral recebido ou desconsidera-se o valor 25% direccionado da PNCV? 
b) Obs: Entendemos que devemos direccionar 20% dos 75% da PNAB e 20% dos 25$ da PNCV...Entendemos corretamente? 
4) Conforme prevê a Lei Eleitoral, os sites das prefeituras devem ficar “Fora do Ar” por 90 dias... De qual outra forma e/ou qual outro local devemos e/ou poderemos divulgar as ações e editais da PNAB?

PNCV
1) Se, um Ponto de Cultura tiver funcionário público como responsável legal/integrante da diretoria ou mesmo participante. Esse ponto pode receber recursos da PNCV? Ex: CTGs, Grupos Folclóricos. 
2) Na Premiação, qual o tipo de documentos o artista e/ou empresa cultural deve assinar, tendo em vista não ter TCC nessa modalidade de repasse?
3) Como fazer para repassar os valores mensais para os projetos continuados, tendo em vista que teremos poucos meses para repassar todo o montante da PNAB em 2024? Poderemos repassar em parcela única?"
DEPARTAMENTO M. DE CULTURA;Diretoria de Cultura;AGENTE ADM CULTURAL;Agente Cultural;FRANCISCO BELTRÃO;41;PR;PARANÁ;Servidor da Pasta de Cultura;"1) Quais documentos os proponentes beneficiados deveram apresentar  para o município no final do processo da LPG?
2) Existe um documento modelo de Relatório Final para os municípios... Obs: Não encontramos nos materiais, poderiam repassar o link de acesso.";"DÚVIDAS PNAB GERAL
1) Nas cidades menores... Onde temos um nº reduzido de artistas e/ou empresas culturais... Pergunta-se: Um mesmo artista e/ou Empresa poderá ser habilitado 2x num mesmo edital? Ex: Fomento e Prêmio (Edital PNCV)?
2) Temos dúvidas em relação ao repasse posterior de recursos da PNAB, onde:
Artistas e/ou empresas culturais que receberem recurso da PNAB em 2024, também poderão receber também nos próximos anos? 
Ex: 1 – Somente com projetos diferentes? 
Ex: 2 – Ou como complementação (2ª fase) para o mesmo projeto, caso o valor recebido em 2024 tenha sido insuficiente?
Ex: 3 – Para o mesmo projeto (se esse for continuado)? Ex: Oficina Turma de Musicalização 1 (iniciantes) em 2024, Oficina Turma de musicalização 2 (intermediários) em 2025 e assim subsequentemente nos outros anos. Porque entende-se que dependendo o caso são necessários vários anos de formação para que o artista tenha domínio do instrumento.
3) Entidades ligadas/mantidas ou apoiadas por instituições religiosas podem receber recursos da PNAB? 
Ex:  Aqui temos o CIMMAD, CNPJ 78.072.253/0004-00, uma entidade socioassistencial e cultural, que tem apoio da Diocese, também apoiada do Poder Público e que recebe doações de terceiros. Pode ser considerada Ponto de Cultura e ser beneficiada pela PNAB? 
4) Poderemos fomentar os artistas locais (músicos/bandas), contratando suas apresentações em eventos da municipalidade já existentes? ... Ex: Semana Farroupilha.

DÚVIDAS PNCV
5) Terá desconto de impostos na Premiação na PNCV?
6) Poderemos remanejar/redirecionar os valores de Fomento para Premiação, caso não tenhamos a quantidade prevista de proponentes  nas ações do Fomento?
7) Rádio Comunitária, pode ser classificada como Ponto de Cultura?"
PREFEITURA DE RONCADOR;Prefeitura;DIRETORA DE CULTURA;Diretor;Roncador;41;PR;PARANÁ;Servidor da Pasta de Cultura;Relatório de Gestão.;Quando posso publicar a licitação da obra de reforma do equipamento cultural?
Secretaria de educação Cultura e Esporte;Secretaria Municipal de Educação;Diretor de Cultura;Diretor;Sulina;41;PR;PARANÁ;Agente Cultural;Leis projetos e licitação;Tutorial do plano anual de aplicação de recursos (PAAR)
Prefeitura Municipal de Mariópolis;Prefeitura;Diretora do Departamento de Cultura;Diretor;mariópolis;41;PR;PARANÁ;Gestor da Pasta de Cultura;Ainda estou em fase de leitura e interpretação da Lei.;Ainda estou em fase de leitura do Guia da PNAB.
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Secretária Municipal de Cultura;Secretário;Bom Sucesso;41;PR;PARANÁ;Gestor da Pasta de Cultura;Minha dúvida é sobre a prestação de conta da LPG.;Como fica o ano que vem sobre a gestão municipal de cultura com relação aos gestores novos pois a eleição municipal é esse ano. Não temos certezas qud ficaremos no cargo.
SECRETARIA MUNICIPAL DE EDUCAÇAO E CULTURA;Secretaria Municipal de Educação;COORDENADORA DE APOIO TECNICO;Coordenador;FOZ DO JORDÃO;41;PR;PARANÁ;Servidor da Pasta de Cultura;PRESTAÇÃO DE CONTAS, COM FAZER?;A RESPEITO DE QUEM PODERÁ USUFRUIR DESTA LEI
Prefeitura Municipal;Prefeitura;Assessora Municipal de Cultura;Assessor;Manoel Ribas;41;PR;PARANÁ;Servidor da Pasta de Cultura;Prestação de Contas.;A
Prefeitura Municipal;Prefeitura;Secretária Municipal de Cultura;Secretário;Manoel Ribas;41;PR;PARANÁ;Gestor da Pasta de Cultura;Prestação de Contas.;Não iniciamos o processo.
Departamento de cultura;Diretoria de Cultura;Diretor de cultura;Diretor;Corbélia;41;PR;PARANÁ;Gestor da Pasta de Cultura;Quais penalidades podemos dar, ao habilitado que não cumprir com os prazos ?;Sem dúvidas
Museu de arte de Cascavel;Museu;Encarregado;Indefinido;Cascave;41;PR;PARANÁ;Agente Cultural;Não tenho duvidas;"Quem.podera se inscrever nos editais, servidor público poderá ser inscrever?
O que caracteriza um.oonto de cultura?"
Secretaria Municipal de Educação e Cultura;Secretaria Municipal de Educação;Professora;Técnico;Guamiranga;41;PR;PARANÁ;Servidor da Pasta de Cultura;Prestação de contas.;Onde e como podemos alocar recursos.
Prefeitura M de São Mateus do Sul/PR;Prefeitura;Diretora de cultura;Diretor;São Mateus do Sul;41;PR;PARANÁ;Gestor da Pasta de Cultura;Estamos em fase de execução dos projetos, assim sendo, não temos dúvidas.;Caso a demanda da sociedade civil seja menor que o esperado, o setor publico responsável pela pasta de cultura pode prever onde executar o recurso?
SECRETARIA MUNICIPAL DE CULTURA;Secretaria Municipal de Cultura;SECRETARIO DE CULTURA;Secretário;RIO BRANCO DO SUL;41;PR;PARANÁ;Gestor da Pasta de Cultura;Nenhuma duvida, em nosso município pagamos todos os  proponentes em 2023 e os projetos já estão em execução.;"Principais dúvidas:
- Podemos utilizar a verba da PNAB em licitações já exigentes? Por exemplo: queremos montar uma sala de exibição de filmes em nosso Museu e precisaríamos comprar cadeira. Há uma licitação ja existente deste item. Pode ser utilizada? Outro exemplo: Acabamos de adquirir um casarão histórico, com a deliberação do COMPAC queremos pinta-lo. Já temos na licitação de obras o serviço de pintura, podemos utiliza-la, certo?"
Departamento de Cultura;Diretoria de Cultura;Diretora Municipal de Cultura;Diretor;Rio Bonito do Iguaçu;41;PR;PARANÁ;Gestor da Pasta de Cultura;Prestação de contas;Operacionalização da lei e utilização dos recursos
Secretaria de Cultura;Secretaria Municipal de Cultura;Assessor Secretaria;Assessor;Porto Rico;41;PR;PARANÁ;Servidor da Pasta de Cultura;Editais;Aplicação dos recursos
Secretaria Municipal de Educação e Cultura;Secretaria Municipal de Educação;Coordenação da Cultura;Coordenador;Marilandia do Sul;41;PR;PARANÁ;Servidor da Pasta de Cultura;Prestação de Contas;Elaboração do PAAR
Departamento Municipal de Educação e Cultura;Diretoria de Cultura;Diretora do Departamento Municipal de Educação e Cultura;Diretor;GUAPIRAMA;41;PR;PARANÁ;Gestor da Pasta de Cultura;Aplicabilidade dos recursos, prestação de contas, execução.;Aplicabilidade dos recursos, prestação de contas, execução.
Secretaria da Educação, cultura, Turismo e Esportes;Secretaria Municipal de Educação;Coordenadora da Cultura e Turismo;Coordenador;Fernandes Pinheiro;41;PR;PARANÁ;Gestor da Pasta de Cultura;Prestação de contas e prazos.;Acredito que as dúvidas vem mais tarde, mas a duração da PNAB. Quem participou da Paulo Gustavo, poderá participar da PNAB?
Secretaria da Educação, cultura, Turismo e Esportes;Secretaria Municipal de Educação;Coordenadora da Cultura e Turismo;Coordenador;Fernandes Pinheiro;41;PR;PARANÁ;Gestor da Pasta de Cultura;Prestação de contas e prazos.;Acredito que as dúvidas vem mais tarde, mas a duração da PNAB. Quem participou da Paulo Gustavo, poderá participar da PNAB?
PREFEITURA MUNICIPAL;Prefeitura;COORDENADORA DO SISTEMA MUNICIPAL DE CULTURA;Coordenador;Jaguapitã;41;PR;PARANÁ;Gestor da Pasta de Cultura;CASO O PROPONENTE NÃOENTREGUE O QUE FOI PROPOSTO, COMO  SUCEDER?;AINDA  PERDIDA
Departamento de Cultura de Itaperuçu;Diretoria de Cultura;Coordenadora;Coordenador;Itaperuçu;41;PR;PARANÁ;Gestor da Pasta de Cultura;Como fazer a adesão;Como fazer a execução
Secretaria de Educação e Cultura;Secretaria Municipal de Educação;Coordenadora;Coordenador;General Carneiro;41;PR;PARANÁ;Servidor da Pasta de Cultura;Não tenho dúvidas.;Por enquanto não tenho dúvidas.
Departamento da Cultura;Diretoria de Cultura;Agente da Cultura;Agente Cultural;Abatia;41;PR;PARANÁ;Agente Cultural;Todas;Todas
Secretaria de Esporte, Cultura e Lazer;Secretaria Municipal de Cultura;Secretária;Secretário;Piên;41;PR;PARANÁ;Gestor da Pasta de Cultura;Estamos terminando os editais neste mês de Maio e publicações, será prorrogada a prestação de contas?;Tenho muitas dúvidas...
Secretaria de Cultura, Esporte e Lazer;Secretaria Municipal de Cultura;Gerente de Cultura;Gerente;Mandaguari;41;PR;PARANÁ;Servidor da Pasta de Cultura;Muitas;Muitas
Diretoria de Cultura;Diretoria de Cultura;Assistente Administrativa;Auxiliar;Guaíra;41;PR;PARANÁ;Servidor da Pasta de Cultura;Nenhuma;Nenhuma
Secretaria municipal de cultura;Secretaria Municipal de Cultura;Chefe da divisão de apoio administrativo;Gerente;Bom sucesso;41;PR;PARANÁ;Servidor da Pasta de Cultura;Não há;"Quando será disponibilizado os modelos de editais ?

Há previsão de datas sobre os pagamentos do ano 2025 ?"
PREFEITURA DE TURVO;Prefeitura;OFICIAL ADMINISTRATIVO;Auxiliar;TURVO;41;PR;PARANÁ;Servidor da Pasta de Cultura;Como implementá-la no município dentro das opções de arte que o município tem atuantes, amadores e profissionais?;Como implementá-la no município dentro das opções de arte que o município tem atuantes, amadores e profissionais?
Secretaria de Turismo, Cultura, Esporte e Lazer;Secretaria Municipal de Cultura;Diretor de Cultura e Eventos;Diretor;Guaraqueçaba;41;PR;PARANÁ;Gestor da Pasta de Cultura;Questões referente a adequação orçamentária.;Sobre como será a aplicação e seus trâmites dentro dos municípios.
Secretaria Municipal de Cultura, Turismo, Lazer e Juventude;Secretaria Municipal de Cultura;Coordenador;Coordenador;Paudalho;26;PE;PERNAMBUCO;Servidor da Pasta de Cultura;Estou conhecendo a LPG pela primeira vez.;Estou conhecendo a PNAB pela primeira vez.
Prefeitura;Prefeitura;Agente cultural;Agente Cultural;Casinhas;26;PE;PERNAMBUCO;Agente Cultural;Quero entender mais, para desenvolver.;Como funciona passa a passo para execução.
Prefeitura de ingazeira;Prefeitura;Sec de cultura;Secretário;Ingazeira;26;PE;PERNAMBUCO;Gestor da Pasta de Cultura;Prestação de contas;Obras
fundarpe;Fundação;assistente administrativo;Auxiliar;recife;26;PE;PERNAMBUCO;Agente Cultural;nenhuma;nenhuma
Secretaria de Cultura, Turismo Lazer e Juventude;Secretaria Municipal de Cultura;Gerente de Cultura;Gerente;Paudalho;26;PE;PERNAMBUCO;Servidor da Pasta de Cultura;Recurso não utilizado, vai para aonde?;Aplicação dos recursos
Secretaria de cultura, juventude e inclusão;Secretaria Municipal de Cultura;Assessor Técnico de Cultura;Assessor;Sao Vicente Férrer;26;PE;PERNAMBUCO;Consultor;"Prestação de contas.
Remanejamento de saldo.";Tipos de editais que poderão serem abertos.
Jatobá sertão de Itaparica;Sociedade Civil;Diretora de cultura e turismo;Diretor;Jatobá;26;PE;PERNAMBUCO;Servidor da Pasta de Cultura;Relatório final.;Toda a construção e aplicação e o que pode e o que não pode .
Sec de Cultura;Secretaria Municipal de Cultura;Assessor;Assessor;Paudalho;26;PE;PERNAMBUCO;Servidor da Pasta de Cultura;Nenhuma;Estou a uma semana a frente da PNAB e preciso me cercar de todas as informações.
Secretária Executiva de Turismo, Cultura e Lazer da Prefeitura municipal do Jaboatão dos Guararapes/PE;Secretaria Municipal de Cultura;Coordenador de Cultura e Patrimônio Cultural;Coordenador;Jaboatão dos Guararapes;26;PE;PERNAMBUCO;Servidor da Pasta de Cultura;Os prazos pra execução dos beneficiários, para os municípios que ainda estão em fase de repasse dos recursos e seus editais são de 2023?;Como ser objetivo na construção do PAAR? Estamos com prazos curtos e dependemos de construir a estrutura do PAAR com agilidade e objetividade, respeitando as vontades da sociedade civil, mas a plataforma precisa ser mais bem explicada e os caminhos mais céleres para atender o prazo.
Secretaria municipal de Cultura;Secretaria Municipal de Cultura;Secrtária;Secretário;Quixaba;26;PE;PERNAMBUCO;Gestor da Pasta de Cultura;Tds;Tds
Secretaria de Cultura;Secretaria Municipal de Cultura;Secretário;Secretário;Iguaracy;26;PE;PERNAMBUCO;Gestor da Pasta de Cultura;Prestação de Contas;PAAR
Conselho Municipal de Política Cultural;Conselho Municipal de Cultura;Conselheiro Titular de Patrimônio e Arquitetura;Conselheiro;Recife;26;PE;PERNAMBUCO;Agente Cultural;Pessoas que não informaram contas exclusivas para os projetos: o que fazer? Que tipo de penalidades poderão sofrer?;Cultura Viva
Secretaria de cultura;Secretaria Municipal de Cultura;Coordenador de cultura;Coordenador;São José do peixe;22;PI;PIAUÍ;Servidor da Pasta de Cultura;Nem uma;Nem uma
TV Antares;TV;Produtora;Produtora;Teresina;22;PI;PIAUÍ;Agente Cultural;Prestação de Contas;Execução
Autônomo;Sociedade Civil;Artista;Artista;Parnaíba;22;PI;PIAUÍ;Agente Cultural;Como impedir que a prefeitura use o processo para auto promoção em ano de eleição.;Quais os critérios de execução? Quais áreas serão contempladas? Como evitar que as prefeituras usem o processo para se auto promover? Como garantir que eu tenha projeto aprovado?
PREX/UESPI Grupo de Tealtro da UESPI;Sociedade Civil;Diretora do Grupo de Teatro;Diretor;Teresina;22;PI;PIAUÍ;Agente Cultural;Preciso de informações sobre a prestação de contas. que tipo de notas tirar, histórico das notas, como pagar profissionais, etc.;Quero informações gerais sobre os projetos.
Prefeitura;Prefeitura;Assessoria;Assessor;João costa;22;PI;PIAUÍ;Servidor da Pasta de Cultura;.;.
Teatro;Sociedade Civil;Atriz;Artista;Parnaiba;22;PI;PIAUÍ;Agente Cultural;"Execução dos projetos
Valores a serem empregados";Prestação de contas
Secretaria de Cultura;Secretaria Municipal de Cultura;Secretário de Cultura;Secretário;Dom Inocêncio;22;PI;PIAUÍ;Gestor da Pasta de Cultura;Algumas dúvidas em relação a lei;Algumas dúvidas de prestação de contas
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Coordenador;Coordenador;Sao Miguel do Tapuio;22;PI;PIAUÍ;Servidor da Pasta de Cultura;Como elaborar e operacionalizar o PAAR;Como operacionalizar
Secretaria Municipal de Cultura;Secretaria Municipal de Cultura;Secretário Municipal de Cultura;Secretário;Regeneração;22;PI;PIAUÍ;Gestor da Pasta de Cultura;Nenhuma;Nenhuma
SEJUCE;Secretaria Municipal de Cultura;Superintendente;Superintendente;Piripiri;22;PI;PIAUÍ;Gestor da Pasta de Cultura;Salas de cinema;Cultura viva
Prefeitura;Prefeitura;Secretário de cultura;Secretário;Cajueiro da praia;22;PI;PIAUÍ;Gestor da Pasta de Cultura;Nenhuma;Como vai funcionar
Secretaria municipal de esportes lazer juventude e Cultura;Secretaria Municipal de Cultura;Secretário Municipal de Esporte Lazer Juventude e Cultura;Secretário;São José do Divino;22;PI;PIAUÍ;Gestor da Pasta de Cultura;Sobre a reunião com os fazedores de cultura;Editais
